,Inches,CPU_Frequency (GHz),RAM (GB),Weight (kg),Price (SAR),Company_Encoded,Base_Product_Encoded,TypeName_Encoded,Resolution_Width,Resolution_Height,Pixel_Area,IPS_Panel,Retina_Display,Touchscreen,CPU_Company_Intel,CPU_Company_Samsung,CPU_Family_Grouped_A6,CPU_Family_Grouped_A9,CPU_Family_Grouped_Celeron,CPU_Family_Grouped_Core M,CPU_Family_Grouped_Core i3,CPU_Family_Grouped_Core i5,CPU_Family_Grouped_Core i7,CPU_Family_Grouped_Other,CPU_Family_Grouped_Pentium,Primary_Storage_Capacity,Secondary_Storage_Capacity,Total_Storage_GB,Primary_Storage_Type_HDD,Primary_Storage_Type_Hybrid,Primary_Storage_Type_SSD,GPU_Company_Grouped_Intel,GPU_Company_Grouped_Nvidia,GPU_Company_Grouped_Other,GPU_Company_Encoded,GPU_Series_Frequency,OpSys_Encoded
114,13.3,1.6,8,1.21,6467.13,4760.9237274914085,39,3,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
115,13.3,1.6,8,1.26,5553.9903,4288.849216791045,13,4,1920,1080,2073600,1,0,1,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
116,14.0,1.8,8,1.63,4303.4800000000005,4288.849216791045,72,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,512.0,0.0,512.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
117,15.6,1.8,8,2.16,4487.4101,4760.9237274914085,135,2,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,False,True,False,False,262144.0,0.0,262144.0,False,False,True,False,True,False,5942.078051010101,131,4687.31573759542
118,17.3,2.0,4,2.0,2239.08,4461.6040552631575,1,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,True,False,False,False,False,1024.0,0.0,1024.0,True,False,False,False,True,False,5942.078051010101,131,4687.31573759542
119,15.6,1.8,8,1.7,4438.46,4461.6040552631575,23,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,False,True,False,5942.078051010101,131,4687.31573759542
120,15.6,2.4,6,2.1,1901.63,2514.853888118812,4,2,1920,1080,2073600,1,0,1,True,False,False,False,False,False,True,False,False,False,False,1024.0,0.0,1024.0,True,False,False,True,False,False,4050.8598208806816,621,4687.31573759542
121,15.6,2.8,16,1.8,8898.755000000001,6863.765348148148,4,5,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,262144.0,0.0,262144.0,False,False,True,False,True,False,5942.078051010101,236,4687.31573759542
122,15.6,2.5,8,2.2,2497.13,4342.632991695502,99,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,False,True,False,5942.078051010101,131,2353.180654248366
123,17.3,1.8,16,2.5,5045.87,4288.849216791045,72,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,512.0,0.0,512.0,False,False,True,False,True,False,5942.078051010101,131,4687.31573759542
124,15.6,3.0,4,2.1,1790.47,2514.853888118812,61,2,1366,768,1049088,0,0,0,False,False,False,True,False,False,False,False,False,False,False,256.0,0.0,256.0,False,False,True,False,False,False,3088.7654103448276,167,4687.31573759542
125,15.6,1.6,4,1.86,1028.23,4288.849216791045,25,2,1366,768,1049088,0,0,0,True,False,False,False,True,False,False,False,False,False,False,500.0,0.0,500.0,True,False,False,True,False,False,4050.8598208806816,621,2353.180654248366
126,14.0,1.6,8,1.63,3223.6400000000003,4288.849216791045,72,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,True,False,False,False,1024.0,0.0,1024.0,True,False,False,True,False,False,4050.8598208806816,68,4687.31573759542
